date,pcr,threshold,signal,pos,ret,pnl,strategy,benchmark
2011-05-11,112.52,115.936,0.0,1.0,-0.000319,-0.000319,1.21268,1.466152
2011-05-12,113.32,115.936,0.0,0.0,0.001472,-0.0002,1.212437,1.468311
2011-05-13,114.7,115.936,0.0,0.0,-0.002997,-0.0,1.212437,1.463911
2011-05-16,111.87,115.936,0.0,0.0,-0.010537,-0.0,1.212437,1.448486
2011-05-17,108.45,115.936,0.0,0.0,-0.003099,-0.0,1.212437,1.443997
2011-05-18,109.16,115.936,0.0,0.0,0.006838,0.0,1.212437,1.453871
2011-05-19,117.13,116.114,1.0,0.0,-0.005809,-0.0,1.212437,1.445426
2011-05-20,111.84,116.114,0.0,1.0,-0.00628,-0.00648,1.20458,1.436348
2011-05-23,108.89,116.114,0.0,0.0,-0.01013,-0.0002,1.204339,1.421798
2011-05-24,107.21,116.114,0.0,0.0,0.00104,0.0,1.204339,1.423277
2011-05-25,105.67,116.114,0.0,0.0,-0.003371,-0.0,1.204339,1.418479
2011-05-26,108.43,116.114,0.0,0.0,0.007025,0.0,1.204339,1.428444
2011-05-27,110.37,116.114,0.0,0.0,0.002458,0.0,1.204339,1.431955
2011-05-30,110.42,116.114,0.0,0.0,0.001553,0.0,1.204339,1.434178
2011-05-31,124.88,116.286,1.0,0.0,0.018718,0.0,1.204339,1.461023
2011-06-01,125.21,116.47,1.0,1.0,0.008178,0.007978,1.213948,1.472971
2011-06-02,118.62,116.616,1.0,1.0,-0.007834,-0.007834,1.204438,1.461432
2011-06-03,120.85,116.702,1.0,1.0,0.006108,0.006108,1.211795,1.470359
2011-06-07,119.48,116.73,1.0,1.0,0.001196,0.001196,1.213244,1.472118
2011-06-08,119.82,116.832,1.0,1.0,-0.005473,-0.005473,1.206604,1.464061
2011-06-09,122.65,116.93,1.0,1.0,-0.000732,-0.000732,1.205721,1.462989
2011-06-10,110.24,116.93,0.0,1.0,-0.018123,-0.018123,1.183871,1.436476
